,Dates,States,Titles,Comments,Ratings
17,2022-01-28,VIC,Ordering and not divering,"Hi. I'm not even sure who is responsible for this situation. It been happened several times,  we are ordering food, usually after a difficult day at work,  or for an occasion,  we're waiting 30 min., 40 min., and after thar the order is canceled! Today we did it twice,  both orders are canceled after a long waiting time! Please, if you can't manage it, tell us from the beginning! After two hours my kids still hungry and I have to go for shopping and cook something!",2
18,2022-01-27,VIC,Would give 0 stars if I could will never use again,"Worst company ever i have write 30 words  , just like to say I don’t like eating cold food Get you business in order get some decent staff and stop stuffing people around",1
19,2022-01-27,VIC,Cold food due to multiple pick ups,Hey Uber Eats. If you want to keep on profiting from doing nothing I suggest you pay your drivers more and stop them from doing multiple pickups. Food gets delivered cold.Paying a premium to order from you only makes sense if the service and the food gets to you hot and in a timely manner. Do better or people will jump ship and stop using your service.Hope for your sake and your profits you get better at doing what you promise.,1
20,2022-01-27,VIC,Driver fraud,"Map showed driver was on our street, got warning from Uber Eats to give driver a moment.......and out of the blue, driver cancels the order and left us in the lurch.  I assume the driver got a nice free dinner from Carluccis and Carluccis was left out of pocket.  Uber Eats doesn't even allow me an opportunity to communicate with them.",1
21,2022-01-27,,Unreliable and terrible customer service,Took 1.5 hours after it said it was 40 minutes max food came Cold and stale and when asked about the extra waiting time support simply ignore the issues and gave excuses regarding the higher fee cost,1
22,2022-01-26,,Uber delivery is bad.,Uber eats delivery was great when our restaurant started using them. Now they take multiple orders and our customers get cold food. 30% fee we expect better from Uber as restaurants as well as customers are paying them to ensure food arrives hot. We don't make the food unless a driver is assigned so it's hot when it leaves the store and cold when customers get it they're charging more money to customers to prioritize their order so drivers can now cancel an accepted order to take the higher paying one leaving us with cold food we now must remake when a new driver is assigned. This is price gouging at its finest Uber needs to step up or step off.,1
23,2022-01-24,VIC,Order and never arravied,"I ordered Uber Eats from Mango Thai Montrose at 610 saying that it would be delivered within 45 min. The app showed the meal was ready and waiting to to picked up. After half an hour I rang the driver who said the meal hadn’t even been prepared as yet, he put me on to the restaurant who was happy to cancel",1
24,2022-01-22,,Cold Food like eating leftovers,"No criticism about the food provider but Uber Eats delivered it so cold I may as well have brought it at lunch time to eat it at dinner time. Driver advised that she was sent to the other side of town first (restaurant is 5min drive from us, driver sent 30min away as priority) before delivering ours. Will not use again, a good meal destroyed by a terrible delivery company. Will never use Uber Eats again, tried once and a horrible experience",1
25,2022-01-22,,Cold food always,"Ubereats is paying drivers too low they got no choice so they are picking up multiple orders at once and food is delivered stone cold always, Ubereats is slavery for poor drivers",1
26,2022-01-21,QLD,Terrible service and terrible customer support,"Waited over a hour for my delivery food was stone cold delivery drivers are rude and unprofessional wanted to leave my food in the rain cause they didn't want to get wet walking up stairs, not only did the driver decided to take a second delivery and in a complete different suburb which dragged the time then proceeded to take the scenic route adding 10mins to the delivery will never use agian and when I complaint they didn't want anything to do about it I include both pictures of the food and the drivers route it it was Inadequate proof 70 dollars down the drain.",1
27,2022-01-21,NSW,Order cancelled after waiting 65 minutes,Placed my order at 7:10pm with an estimated time of 7:50 which moves to 8:10pm and then at 8:10 the estimated time changed to 8:20. At 8:14pm the order was cancelled. This is about the 7th time in the last 6 months.,1
28,2022-01-19,WA,fees fees and hidden fees,"phenomenal charges now. uber wants 24.50 for the order plus 2.45 service plus 5.99 delivery thats 32.94 total . Bit much for Guzman y Gomez thats 600 mts  away , so I decided to get it myself. Total cost 19.90 and 10 minutes walk. So uber not only adds on a service charge and delivery They also added 4.90 onto the food cost . Total uber gets 13.04 . PS dont forget the TIP wondering now WHO gets the tip.",2
29,2022-01-18,,No customer support,"Whenever I complained of my food arriving late and cold or one time it had a hair, the response was nothing we can do. Not good enough I’m not wasting my money there anymore to receive unsatisfactory food.",1
30,2022-01-18,QLD,Keep cancelling orders and no refunds/take months to refund,"Uber eats as of recently almost every order I've made they have cancelled and usually without explanation. The refund process takes longer than it should or sometime none at all and IF they approve using PayPal have had to get PayPal to reimburse on their behalf, with the in app telling me I owe money because they cancelled and took my money, stating I can't make further orders because they didn't want to reimburse $20 they took from me without any explanation? Not to mention I have waited hours in the past with multiple drivers accepting the o...",1
31,2022-01-17,NSW,Worst food delivery service there is,Food always arrives cold as there is multiple deliveries. Drivers do not give 2 craps and will just decide not to pick it up if they can't be bothered. Waited 2 hours once just to have a driver not even drive to the restaurant. Save your time and money and use doordash or menulog,1
32,2022-01-15,SA,Over it,"Too many times the food arrives luke warm due to delays in delivery or I am second in line of two deliveries (even once the driver went to another restaurant to pick up an order before delivering mine even though they went passed my house).  With such exorbitant delivery and service fees PLUS the price of the food is more expensive than what it would be if you went to the restaurant yourself, I am done receiving substandard food for at an exorbitant cost...I have deleted the app",1
33,2022-01-14,,#Starvation,"I find #DoorDash are always prepared to do the work,and are focused on the consumer,rather than just purely on the companies 'shareholders'...",1
34,2022-01-13,NSW,recent order,"We recently, today,  had a food delivery from Cassandras on the Park in St Mary's one Chicken  burger and a beef burger. the beef burger was ordered without mayonnaise .ali or cheese these instructions were ignored , the burgers wee suppose to be served with chips which were not provided.Yours FaithfullyGraham Tight",2
35,2022-01-12,,Worst customer service,Poor service all round - seems to be getting worseConstant app errors/glitchesLittle to no support - generic copy/paste responses which drive you to insanityThey let the restaurants run their business and step back and take the money so service is always inconsistent.Greedy - keep adding hidden fees and this ‘priority’ gimic is fraudulent at best - it does nothing to speed up the process whatsoever and is just a way to grab extra money for the same service.Highly frustrating service to use and deal with.NOT CONSUMER FOCUSSEDI feel for the delivery people who likely put up with the same issues,1
36,2022-01-11,VIC,Lousy customer service,More and more negative experiences with these food delivery services. Most recent experience having tracked a driver right outside my house and complete the order without actually receiving my food. Tried to get in contact with driver and he could not speak enough English to be able to communicate what happened. Just understood he made a “mistake and gave my order to someone else” and refused to get my order back and deliver.There’s no call centre so you in circles trying to get issue resolved but their way of resolving issue is just to refund which takes up to 10 days.So infuriating. Lousy lousy lousy!,1
37,2022-01-11,,"Was good, now bad","Use to be great when it first came out. But now days they slap prices on everything. First there's delivery, which i understand. Then service fee and now thet have priority which is $5. Never had problems with it before but now if you dont click it  you always have to wait for them to make another delivery.  Just the standard corporate fat cats seeing dollar signs",1
38,2022-01-11,,Will never use Uber eat again!,The Food was ready and sitting in the restaurant for 2 hours waiting for a Uber driver to pick up. Might as well we go to pick up by ourselves.,1
39,2022-01-11,,A scam,"Delivery address was incorrect. No way to correct it, every time tried it came back with ‘Oops, can’t perform this task’ No option but to cancel order. Charged a ‘cancellation fee’ of the price of the whole order even though cancellation was less than 2 minutes after order was placed. No way to contact Uber eats for refund, just a frustrating circle. I cannot believe this company‘a business model is legal.",1
40,2022-01-10,,Zero Stars,You are better off driving to the restaurant yourself to collect.,1
41,2022-01-09,,Bad service,It’s impossible to get any customer service after they stuff  up your order . I hate ordering online . It’s always a risk . I have to wait 3 days for a delivery fee refund  even when it was Uber’s fault . I also lost the free 30 voucher the Uber had given me. I’ll never use Uber eats again,1
42,2022-01-08,QLD,Expensive experience,I ordered $115.00 of pizza from DOC PIZZA Carlton tonight.  Food was completely COLD in boxes.  Must have been pre cooked.   NOT fault of driver as tracking showed delivery straight  from restaurant to home.  No more on line ordering from that company.,1
43,2022-01-06,VIC,Warning! Do not order from Ubereats!,"They are thieves who will steal your money and when they cannot deliver and cancel the order, you wont get your money back either.  There's no customer support and they copy and paste email support.  I have lost more than $50 and have waited a long time for my refund. I can't contact their CEO. Please do not ever order from them. PERIOD!",1
44,2022-01-06,NSW,Hopeless -Do Not Turn Up,You order and get the estimated delivery time..okay.The delivery time is brought forward...great.The delivery time is pushed back again...okay.The delivery time is pushed back again...alright.The delivery time is pushed back again...yep.The delivery time is pushed back again...come on.The delivery time is pushed back again...wth?The delivery time is pushed back again...seriously?Do not waste your money..........Jokers!,1
45,2022-01-04,,Greedy + undeserving of our business,"They used to be a speedy delivery service. Now, drivers are assigned MULTIPLE orders on route, meaning your food sits in their car for over an hour getting cold. I ordered food to my location from a south eastern location. Driver picks it up, THEN DRIVES 15 MINUTES FURTHER SOUTH to grab another order from another restaurant. Food reciept states it was made at 5:21pm. We received it at 6:40pm, cold and soggy as anything. HORRIFIC",1
46,2022-01-04,,Appalling,I ordered from a restaurant my delivery guy went two streets in the opposite direction after they picked up my order and it was not kept at the required temperature. So i was unable to eat it. Will not be using uber eats again.,1
47,2022-01-03,NSW,Probably the best out of a bad bunch,Ordered food was given an estimate which was then pushed out multiple times then cancelled. At least my money was returned promptly and an apology was given. As for Deliveroo they have got to be the worst followed closely by Menulog. They used to be all pretty good in my area but I have given up and walk or drive and pick up my own ordersJason,1
48,2022-01-03,,Horrible service,Order canceled after delaying multiple times for 2 hours.Why accept orders in the first place if 'could not be delivered'.Incompetent customer service.Not worth paying extra for service fees.,1
49,2022-01-03,ACT,Still crappy service worse now!,"Ordered 2 ice creams and 2 ice blocks, potato chips and a bottle of drink for $40! Can’t even get it right! Order was pushed back in time twice and by the time it got here the ice blocks melted and wrong item. No contact apart from the in app help that doesn’t help at all and then ignores messages. Now I’m being told after they have taken my money that I have to wait for a response. This is once again theft! Take my money and give me bad service and then make me wait for a refund of incorrect items. Not happy this will be the 3rd time I’ve dele...",1
50,2022-01-03,NSW,Driver too drunk to drive!,Driver sent wife and kids to pick up order from Liquorland Asquith because he was too drunk to drive. Ultimately order was cancelled as Uber Eats could not find a replacement driver. Will never use this service again as competitors are professional and reliable.,1
51,2022-01-03,,Disgraceful service,"There never seems to be available drivers anymore, and yet delivery charges are higher than ever. Placed an order from dominos in st kilda east today, which never got delivered but conveniently wasted no time in taking the funds out of my account. Store is not answering, and impossible to get through to an ubereats representative to get this sorted/refunded. After too many issues, and with this final issue that still isnt resolved being the final straw, This will be the last time I used UberEats.",1
52,2022-01-03,NSW,Hopeless app.,Order did not arrive. Will never use again. Found message later saying order cancelled for no reason given. Don't bother using until they get their act together. Someone needs to read these reviews and act.,1
53,2022-01-02,,Trash,If I could give Uber eats a 0 I would. Legit randomly cancelled my order after I’ve waited an hour for it already. And STILL charged me for it. So sick of getting messed around. Takes so long also. It’s stupid,1
54,2022-01-02,VIC,Uber eats,"After 1 hr 40 mins waiting for our meal Uber eats canceled the order. The restaurant didn’t call us. They recon they didn’t have drivers. So why take the order in the firs place. Would never use again, just  discussing service.",1
55,2021-12-31,,Terrible,"Waiting for over an hour for my food, paid full price for delivery yet have to wait for two other deliveries before mine!!  inconvenient. Will be ordering off other apps.",1
56,2021-12-31,NSW,Dont touch Uber Eats,"We ordered Sushi via Uber Eats for my two daughters on 31st Dec 2021and we waited a whopping 1hr 30 mins, to only discover the driver had actually collected our food and then had the hide to eat it himself, then cancelled our order.",1
57,2021-12-31,NSW,The sickest company to deal with!,"I have been made to wait for more than 2 hours so many times after their initial estimate of 50 mins! There is absolutely no accountability. I have tried other food delivery service for the same restaurant, and never they have taken this long.",1
58,2021-12-30,,Worst customer service ever!,"Ordered some food and they took the money. Waited almost 2hrs and no food. Chatted and enquired with a robot assistant who cancelled the order. Money not refunded immediately. Now, without money or food. Stupid, idiotic company. So mad. I just want my money back. Never again!",1
59,2021-12-29,QLD,Trash!,"Ordered with my last money, since i work until late (11:30 pm)  i don't have time to go to the grocery for dinner. Took 4 hours for the food to be delivered. Reported it but only received robot response, I think some verbatim crap being used in the CS department.",1
60,2021-12-28,,Absolute joke,I'm not one for writing reviews but It's now been two and a half hours and I'm about to kill . If this was stated to begin with I would of just went up the road myself. This crap better drop the goods and run.....,1
61,2021-12-28,VIC,"Don't bother - it is crap. Crap company, crap service","Really bad service. Hopeless, did not deliver, changed the time it would arrive. Nothing arrived, it was supposed to be a meal we could enjoy. Never, ever again. No stars if possible",1
62,2021-12-28,QLD,Wish I could give zero stars,"Don't trust these con artists, you'll end up hungry and angry like I did.",1
63,2021-12-28,,They make it impossible to get help!,I got charged for a cancelled order and I can’t for the life of me get in touch with anyone to get money back! What a rip off and a joke for customer support! They stole over $40 from me. Could have been way more. Illegal as f!,1
64,2021-12-27,WA,Voucher accepted and not discounted!!!!,We had a uber eats $50 gift voucher. We put in the code and was accepted and it didn't discount the order. Paid full price and no where for me to write a query or ask a question,1
65,2021-12-27,,a scam,i ordered over $20 for the free delivery still had to pay full delivery not only that the prices are a scam youj go on any other website for food an there all cheaper i dont know how they havnt been sued yet,1
66,2021-12-27,ACT,Order delivered very late ...worst service,I have placed order 2hrs back..still app says picking up order and no proper details.I have called the driver from app but no explanation and no confirmation about delivery time,1
67,2021-12-26,,Uber eats Pizza Hut STH Mel,The two pizza I ordered took 1 1/2 hrs to arrive. The two pizzas and garlic bread were cold and looked like they’d been shaken in the box. One had no cheese. They were both thin crust which I didn’t order!  The driver didn’t read the instructions so instead of meeting us in the foyer of the hotel I had to go out onto the main road and collect. Atrocious product. Never again!! A frozen pizza would have been tastier.,1
68,2021-12-26,QLD,Losing my patience with UberEats,"I recently ordered a burger, chips and wings from a local restaurant that I have visited in person before and I know the food is very good. However, when I ordered food through UberEats from this restaurant it placed my order behind someone else who order something from a completely different restaurant. This is very frustrating because I am still paying the full delivery fee only to get my food later. The extra time it took to drop off someone else food before mine meant that my chips were colder and soggier than they would have otherwise been...",1
69,2021-12-26,,Never again!,"Wow - you can’t beat the stats on this one. Worst service ever. Avoid at all costs. No food, Uber cancelled order, due to no drivers and no apology. Avoid at all costs.",1
70,2021-12-25,,Big heartless tech,Just listened to an ABC podcast about a Uber delivery driver Burek killed while logged on as an employee of UBER.  No compensation due a 10 min technicality.    Sad sad for the family,1
71,2021-12-25,VIC,Dropped the ball,"Uber has gotten worse and worse recently. The food is often cold and Deliveries are taking over 2 hours and in our case tonight, cancelled after waiting over 2 hours. You pay for the convenience, but it is completely not worth it now.  Won’t use them again.",1
72,2021-12-24,VIC,PATHETIC,"The reason it says “…has one stop along the way” is because them folks be taking pieces of food making it seem unnoticed or untouched, suggest you don't order open foods like pizza or things that don’t come in a bad because them folks who are poor enough to take ur food for their recess is ripping your money off.. xoxo PATHETIC.",1
73,2021-12-23,,Never use Uber Eats,"Ordered dinner through Uber Eats. 30 mins after my express order $ delivery, it still hadn’t arrived. Uber Eats kept sending excuses about traffic, etc when it was after 9pm at night. I phoned the restaurant who delivered straight away and saved myself $8. Failure plus!! Phone your restaurant directly.",1
74,2021-12-23,QLD,Cancelled my order at 8:50pm,"Extremely disappointed with Uber Eats. Ordered Thai for dinner to be delivered between 8:15-8:45pm as I didn’t finish work until 8pm and that was the only later option.Once I got home, I waited patiently for my order to arrive. By 8:50pm it got cancelled by Uber Eats! Currently very hangry.",1
75,2021-12-23,VIC,If I could do less than 1 star I would,Placed order at 7:30pm. Order said it was placed and items being prepared. At 8:40pm called the restaurant who said they never recieved any order. Quickly raced down to the supermarket because it closes at 9pm and we needed something for dinner. At 8:45pm got a message to say the driver was at the restaurant. . Driver disappeared...and it went back to order being prepared. Shops closed at 9pm. Restaurant closed at 9pm. No food and no way to contact them... the app still says the freaking order is on the way even though everything is freaking cl...,1
76,2021-12-23,QLD,Overpriced food delivery,"Uber Eats is an overpriced food delivery service. The prices of individual items are more expensive on the app than in restaurant. On top of this, they charge a delivery fee and a service fee. If you want your delivery to arrive at a reasonable time, you have to pay a 'prompt delivery' fee. If you don't pay this fee then expect your delivery to take a minimum 1 hour to be delivered. They won't be receiving any tips from me in the foreseeable future.",1
77,2021-12-23,,I ordered Uber eats today because I had a gift voucher,"I ordered a sandwich at 11:30am  and it arrived at 1;40pm in atrocious condition.  The restaurant was two km away but as I had a gift voucher I thought I would try the delivery service.  Not only was the food completely spoiled once it arrived I paid $25 for a $16 sandwich because the charge included a tip to the restaurant and a tip to the driver who was an hour late.  Horrendous.  I gave it to my dog.  It was a gift voucher I was using but still I think that I should say ""I want my gift voucher back"".",1
78,2021-12-22,VIC,Uber eat,"I don't like the fact the you have the opportunity to tip a driver before they even do their job and if you don't,  your meal just sits there. That's bad business. Thank goodness for menu log.",1
79,2021-12-21,,Never trust them,Can not trust these people.It’s the worst and dishonest people.Tricked my partners bank account details and took money.Promotion code never works. Tricking many people and making them to pay full amount,1
80,2021-12-21,,Failure,"Waited 1.5 to almost 2 hours for lunch to be delivered. Decided it was faster to drive to the restaurant and collect the food. The food was cold, items were missing and random extra items that were not ordered were included for some reason. It is not worth the delivery fee they charge. Uber Eats has failed.",1
81,2021-12-20,VIC,The worst,"I was a platinum user on Uber. Thought I would try Uber Eats. The driver never showed up. I tried calling them and they did not answer. I got a refund, but the driver still got the tip. GRRRRRRR. I tried calling Uber. You cannot contact them. It states I am a platinum member, then it hangs up. Screw UBER. I have been a member for 10+ years and was/is a Platinum member but they do not give a crap about you. Its a pure number game. I deleted Uber today from all my devices.",1
82,2021-12-20,VIC,Expensive… slow,If you want overpriced.. soggy and slow… deliveries then use uBer eats.. if we could give it a zero rating we would. Disgusting to think what they are getting away with,1
83,2021-12-20,,Terrible,"My expected delivery time was continually extended by 5 or 10minute intervals, multiple times for an hour before being cancelled. I have contacted the restaurant. The order had been made on time but had sat at the restaurant for an hour. I am deeply disappointed, it is now too late to eat the cold food. The Oder says it was canceled at 6:10, this is a lie, it wasn’t canceled until 7:55!",1
84,2021-12-20,,Not worth your time.,Have ordered uber eats many times before because of hotel quarantine and many times the order has been cancelled because no driver picked up the food for over 2 hours (the order was refunded but after a couple days). Drinks have turned up spilled to the point where there is basically no drink left. This is unacceptable and will never be using it again. I am quite disappointed in the lack of service. I strongly do not recommend uber eats to anyone. Not worth your time.,1
85,2021-12-20,,No Stars,"Ordered, paid, waited over 1.5 hours and then had the order cancelled with no explanation. Funds were refunded however this is not good enough for a company that's sole job was to deliver food. The poor restaurant had even made the food, Uber just couldn't get a driver! Perhaps pay your staff more to improve your service. I'll never order from them again as the delivery fee and service fee does not match the service provided.",1
86,2021-12-20,,Ubereats very expensive,Complete ripoff. Food gets charged $2.50 more plus $1.50 service plus $6 delivery for a distance of 700 metres. I can't select a pickup. Ubereats made the app so I have to get the food delivered if you select a popular and well known fast food restaurant. So that's almost double the price. Only using ubereats because work used to give vouchers for doing OT. Now they stopped using ubereats vouchers after numerous complaints. Can't wait until I finished using all the vouchers and good riddance to ubereats. I would give them a zero if I could.,1
87,2021-12-18,,Ubereats not worth 1star,"Ordered food from a regular common restaurant. The service of restaurant is generally fast and efficient, however I ordered from ubereats due to credit from a voucher left over. From start it gave a 50 min time frame, no one was assigned until 40 mins in. Time kept being pushed out, when finally tracking it still sat around with the same eta (location is 5 mins away) I've paid for service plus delivery close to $9.00. When order does finally arrive it's spilt soggy, melted and cold. A clear indication that the restaurant was waiting for pick up...",1
88,2021-12-18,NSW,Avoid avoid avoid,The service fee that Uber charges customers is an absolute joke. Delivery timeframes are always undercooked by at least 30-45mins. If you want to charge a fee provide better service.,1
89,2021-12-18,QLD,2 hours delivery time! Worst!!!,"I ordered milk tea from gong cha northlakes and I had to wait 2 hours for my delivery to arrive. If I could give uber eats a negative rating, I would definitely do that. This is totally unacceptable. Very disappointing!",1
90,2021-12-17,,Took way too long,The food was 1 hour and 20mins late even after charging additional for priority order. Guests were waiting  and frustrated to even eat the food when it finally arrived. Will never use Uber Eats again.,1
91,2021-12-17,,Nope.,"Uber Eats isn’t worth it anymore. Waited 90 minutes for something 1 suburb away and you guys don’t let us cancel orders when it’s taking so long. Not worth it. Every time I get Uber eats, I’m reminded why I never get Uber eats. Do better",1
92,2021-12-16,VIC,"Used to be consistent, is now garbage","If it's going to take over an hour to find a driver for one order, you shouldn't even offer services. I couldn't cancel the order without getting charged, even though clearly the restaurant was waiting for uber to find a driver before preparing a meal. Chat forces you to talk to a robot. Just say review, and it gives you live support, though you then have to wait in queue. And I feel bad for the restaurant I ordered from, cause they closed almost twenty minutes ago and only just a few minutes ago did uber find a driver, so people are pointlessl...",1
93,2021-12-16,,Consistent. Cancelled four out of four orders,"Incompetent, arrogant, and not interested in doing their job.  If you are spectacularly incapable of doing something as simple as deliver food to a specified address, why do you bother to continue?  Four out of four orders cancelled over an hour after placing the order.  Got to make you think that this is just a scam to get your credit card details. I can’t think of any other reason they exist because they certainly don’t deliver food.",1
94,2021-12-16,WA,Gives you a store further away from home for pick up,Not good at allUber please fix this issue,1
95,2021-12-16,VIC,Worst service ever!,"Took over 2 hours for food to be delivered and on top of that when chatting to the live chat, they ended it because they couldn’t assist. WORST SERVICE EVER!!!!",1
96,2021-12-15,NSW,Pathetic,"Driver left food hanging on front fence, no attempt to go to door, nor any attempt to be heard/known. Food sat out there for half an hour. Cold and inedible.Not the first problem with this trash company, but by far the worst, and will definitely be the LAST.Uber Eats can go to hell, along with their incompetent drivers.Giving 1 star is 2 stars too many.",1
97,2021-12-15,NSW,Let down by non delivered food,Delivery was put back by 10 minutes for every 10 minutes that passed repeatedly until restaurant closed.  This meant I was unable to order from elsewhere so went hungry. When I tried to cancel the order myself I was told I would be charged for the meal because the restaurant was still planning on delivering it. This is not the first time this has happened.,1
98,2021-12-14,,Lies and deceit,"The app says “Still preparing your order”, but in reality it’s been ready and waiting for 30-40 minutes. There is no way to complain other that to request a refund for food quality, which the restaurant pays for. Shameful, unreliable and deceptive.",1
99,2021-12-13,QLD,Beyond Terrible,Beyond terrible customer service!Order arrived… delivery driver dropped most of the order on the ground. Didn’t even apologise. Left. Zero support from Uber Eats in terms of remedy. We all know accidents happen… but seriously horrendous and disrespectful response from Uber Eats when seeking assistance to remedy this matter! Do not use this service!,1
100,2021-12-13,,Terrible Customer Service,"Ordered Pizza ($80) that never arrived, They essentially said ""according to their GPS it was a successful delivery"", their responses were cold and would not provide a number to call.",1
101,2021-12-11,QLD,Never again.,"We placed our order and after some considerable time waiting, and a couple of message apologising for delay and that they would have our food to us soon) we were finally messaged by Uber Eats and advised Uber Eats Delivery partner could not deliver.Uber eats then cancelled the order on us, no phone call, no apology, nothing.We had our family waiting for dinner. We were not rang and given the opportunity to collect ourself.This was appalling service and not a quality service at all regardless of where blame lays. We are not interested as t...",1
102,2021-12-11,QLD,Ubereats is better than Menulog,"I’ve never had to wait over an hour, never had an order cancelled, there’s always been a driver available, have never not received my food and have never needed to contact them for anything. Lucky for me the drivers in my area have always been friendly too.",3
103,2021-12-11,VIC,No delivery drivers,Has basically turned what was an effective and efficient service into a complete waste of time.,1
104,2021-12-10,QLD,"Late delivery, no contact.","For the second time Uber eats has stuffed up our delivery from our favourite fish and chip shop. The first time we had NO contact ,then they left our meal at the front door without a knock or doorbell ring. We tried contacting them to find out where our meal was, no response. Finally I went outside and our now cold hot meal was sitting at the front door.  $$$$ wasted. Tonight we had organised delivery from 6 to 6.30pm. Surprise  surprise, no delivery ,but a text after 6.30 saying that unfortunately they cancelled our order because they were too busy. Would not recommend this company for changing a light bulb  let having them deliver a meal. Will be spreading the word about this useless service.  ..",1
105,2021-12-10,VIC,Absolutely Appalling,"The 4 hungry tradies working for me ordered their food and waited 2 hours.......... we discover the problem was no driver to deliver. Unbelievable. This app should be shut down if you cannot provide the service.I highly recommend everyone to order directly from the food providers as Uber takes a huge percentage from the food providers, thus disadvantaging them. Uber eats service is non existent.",1
106,2021-12-10,,Angry,"Straight up zero, 1 hour and 30 minutes later it finally tells me I won't get my dinner ... If this crap app knows there is no drivers then why the crap make me wait after a 14 hour day now I have to go to bed hungry. Very annoyed.. at least if you call a taxi they tell you how long the wait will be. Crap uber and uber eats.",1
107,2021-12-10,,Shockingly appalling,"Ordered a meal from a restaurant 2.3 km from my work place, waited for an hour and a half, only to be told that my order has been cancelled. Without any explanation.",1
108,2021-12-09,VIC,Alcohol delivery,"I couldn't believe it... ordered wine with uber eats for the first time. The driver said because the uber eats needed ID and my ID doesn't have a photo (I don't drive so I don't have a licence) he couldn't give the wine to me. I order wine through menu log, woolworths all the time and they happily take my other forms of ID. Oh by the way I'm 60 so I dont think there was an issue with my age!",1
